wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,collectionArtistName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,contentAdvisoryRating,isStreamable,collectionArtistId,collectionArtistViewUrl,checked_at
track,song,407318293,1787573766.0,1787574054,Ravid Plotnik & Z.K,הדרך לשביל הזהב,לילה טוב אהובה,הדרך לשביל הזהב,לילה טוב אהובה,Ravid Plotnik,https://music.apple.com/us/artist/ravid-plotnik/407318293?uo=4,https://music.apple.com/us/album/%D7%9C%D7%99%D7%9C%D7%94-%D7%98%D7%95%D7%91-%D7%90%D7%94%D7%95%D7%91%D7%94/1787573766?i=1787574054&uo=4,https://music.apple.com/us/album/%D7%9C%D7%99%D7%9C%D7%94-%D7%98%D7%95%D7%91-%D7%90%D7%94%D7%95%D7%91%D7%94/1787573766?i=1787574054&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/31/9b/95/319b95da-686c-adad-0415-0ad04adcc392/mzaf_901457232457608387.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b7/63/f8/b763f8cf-8565-44d4-19ce-09d919bd2cd5/cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b7/63/f8/b763f8cf-8565-44d4-19ce-09d919bd2cd5/cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b7/63/f8/b763f8cf-8565-44d4-19ce-09d919bd2cd5/cover.jpg/100x100bb.jpg,10.99,1.29,2025-01-10T12:00:00Z,explicit,explicit,1.0,1.0,12.0,9.0,251569,USA,USD,Hip-Hop/Rap,Explicit,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1340729773,1553078440.0,1553078965,"Digga D, Savo & ZK",Made In The Pyrex,Folknem,Made In The Pyrex,Folknem,Digga D,https://music.apple.com/us/artist/digga-d/1340729773?uo=4,https://music.apple.com/us/album/folknem/1553078440?i=1553078965&uo=4,https://music.apple.com/us/album/folknem/1553078440?i=1553078965&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b5/da/bf/b5dabfae-28d9-738b-dc23-f69f3c857388/mzaf_13544241887630140185.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3a/de/3e/3ade3e47-bf73-6aa7-ccc3-a3feb4b7bc69/21UMGIM11333.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3a/de/3e/3ade3e47-bf73-6aa7-ccc3-a3feb4b7bc69/21UMGIM11333.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3a/de/3e/3ade3e47-bf73-6aa7-ccc3-a3feb4b7bc69/21UMGIM11333.rgb.jpg/100x100bb.jpg,9.99,1.29,2021-02-26T12:00:00Z,explicit,explicit,1.0,1.0,12.0,8.0,177615,USA,USD,Hip-Hop/Rap,Explicit,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1469386795,1469386794.0,1469387189,ZK & Aya Nakamura,Bébé - Single,Bébé,Bébé - Single,Bébé,,https://music.apple.com/us/artist/zk/1469386795?uo=4,https://music.apple.com/us/album/b%C3%A9b%C3%A9/1469386794?i=1469387189&uo=4,https://music.apple.com/us/album/b%C3%A9b%C3%A9/1469386794?i=1469387189&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/72/e4/73/72e4730a-d13f-70fc-cb4e-b09459a80b20/mzaf_17873953602502264925.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/32/25/14/3225144a-f4e7-0721-8554-8b4e1eca6306/43fc5691-ad31-4d46-970a-103a2f048524.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/32/25/14/3225144a-f4e7-0721-8554-8b4e1eca6306/43fc5691-ad31-4d46-970a-103a2f048524.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/32/25/14/3225144a-f4e7-0721-8554-8b4e1eca6306/43fc5691-ad31-4d46-970a-103a2f048524.jpg/100x100bb.jpg,0.99,0.99,2018-03-30T12:00:00Z,explicit,explicit,1.0,1.0,1.0,1.0,171573,USA,USD,Hip-Hop/Rap,Explicit,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1340729773,1554101119.0,1554102196,"Digga D, Savo & ZK",Made In The Pyrex (Bonus Track),Folknem,Made In The Pyrex (Bonus Track),Folknem,Digga D,https://music.apple.com/us/artist/digga-d/1340729773?uo=4,https://music.apple.com/us/album/folknem/1554101119?i=1554102196&uo=4,https://music.apple.com/us/album/folknem/1554101119?i=1554102196&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5f/41/ec/5f41eccf-83c1-ab49-9f79-74175adab0c9/mzaf_7801742727278778311.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/44/ea/a7/44eaa747-a8bf-c980-03f1-3eab1ce58ec1/21UMGIM13273.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/44/ea/a7/44eaa747-a8bf-c980-03f1-3eab1ce58ec1/21UMGIM13273.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/44/ea/a7/44eaa747-a8bf-c980-03f1-3eab1ce58ec1/21UMGIM13273.rgb.jpg/100x100bb.jpg,9.99,1.29,2021-02-26T12:00:00Z,explicit,explicit,1.0,1.0,12.0,8.0,177615,USA,USD,Hip-Hop/Rap,Explicit,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1469386795,1172413294.0,1172413661,ZK & Hiro,"Ndombolo Trap, Pt. 4 (Touché en plein cœur) - Single","Ndombolo Trap, Pt. 4 (Touché en plein cœur)","Ndombolo Trap, Pt. 4 (Touché en plein cœur) - Single","Ndombolo Trap, Pt. 4 (Touché en plein cœur)",,https://music.apple.com/us/artist/zk/1469386795?uo=4,https://music.apple.com/us/album/ndombolo-trap-pt-4-touch%C3%A9-en-plein-c%C5%93ur/1172413294?i=1172413661&uo=4,https://music.apple.com/us/album/ndombolo-trap-pt-4-touch%C3%A9-en-plein-c%C5%93ur/1172413294?i=1172413661&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0a/df/4e/0adf4e42-6349-83b6-6f97-29c0c60fa506/mzaf_3392466530861879137.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/d6/79/51/d679516c-fd27-cfec-de26-2cb1aac72472/cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/d6/79/51/d679516c-fd27-cfec-de26-2cb1aac72472/cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/d6/79/51/d679516c-fd27-cfec-de26-2cb1aac72472/cover.jpg/100x100bb.jpg,,,2016-11-04T12:00:00Z,notExplicit,notExplicit,1.0,1.0,1.0,1.0,205854,USA,USD,Hip-Hop/Rap,,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1481517647,1783321371.0,1783321374,Z.K,Em cứ lấy đi - Single,Em cứ lấy đi,Em cứ lấy đi - Single,Em cứ lấy đi,,https://music.apple.com/us/artist/z-k/1481517647?uo=4,https://music.apple.com/us/album/em-c%E1%BB%A9-l%E1%BA%A5y-%C4%91i/1783321371?i=1783321374&uo=4,https://music.apple.com/us/album/em-c%E1%BB%A9-l%E1%BA%A5y-%C4%91i/1783321371?i=1783321374&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/fd/53/50/fd53501f-d616-c4bf-5cba-8c0ba4d0dbd2/mzaf_14630227569046869191.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/27/eb/64/27eb6409-0d48-7a22-fa47-4de7e72db7a9/5034644325552.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/27/eb/64/27eb6409-0d48-7a22-fa47-4de7e72db7a9/5034644325552.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/27/eb/64/27eb6409-0d48-7a22-fa47-4de7e72db7a9/5034644325552.jpg/100x100bb.jpg,0.99,0.99,2024-12-15T12:00:00Z,notExplicit,notExplicit,1.0,1.0,1.0,1.0,199935,USA,USD,Hip-Hop/Rap,,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1481517647,1797576034.0,1797576038,Z.K,ZAZA - Single,ZAZA,ZAZA - Single,ZAZA,,https://music.apple.com/us/artist/z-k/1481517647?uo=4,https://music.apple.com/us/album/zaza/1797576034?i=1797576038&uo=4,https://music.apple.com/us/album/zaza/1797576034?i=1797576038&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9a/f4/99/9af49936-3260-18df-1c35-9b3705d82e58/mzaf_10074749118181405868.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ea/85/e0/ea85e0be-38e1-53c6-0e72-5f00e81e61ba/5034644491721.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ea/85/e0/ea85e0be-38e1-53c6-0e72-5f00e81e61ba/5034644491721.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ea/85/e0/ea85e0be-38e1-53c6-0e72-5f00e81e61ba/5034644491721.jpg/100x100bb.jpg,1.29,1.29,2025-03-21T12:00:00Z,notExplicit,notExplicit,1.0,1.0,1.0,1.0,135594,USA,USD,Hip-Hop/Rap,,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1624186176,1735130938.0,1735130941,ZKsinger,Re-imagined - EP,ZK (Re-imagined),Re-imagined - EP,ZK (Re-imagined),,https://music.apple.com/us/artist/zksinger/1624186176?uo=4,https://music.apple.com/us/album/zk-re-imagined/1735130938?i=1735130941&uo=4,https://music.apple.com/us/album/zk-re-imagined/1735130938?i=1735130941&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/2d/01/c2/2d01c223-84aa-d6ce-3d2d-0cb3cd0dff5b/mzaf_7710009922013095031.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f3/43/53/f3435359-7e60-f314-5976-b6b853588826/artwork.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f3/43/53/f3435359-7e60-f314-5976-b6b853588826/artwork.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f3/43/53/f3435359-7e60-f314-5976-b6b853588826/artwork.jpg/100x100bb.jpg,5.64,0.99,2024-03-15T12:00:00Z,notExplicit,notExplicit,1.0,1.0,6.0,3.0,95061,USA,USD,Pop,,True,,,2025-04-27T17:43:29.829919+00:00
track,song,275191069,275732413.0,275732461,Merakhaazan,Soundtrack,ZK,Soundtrack,ZK,,https://music.apple.com/us/artist/merakhaazan/275191069?uo=4,https://music.apple.com/us/album/zk/275732413?i=275732461&uo=4,https://music.apple.com/us/album/zk/275732413?i=275732461&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/5e/e2/b9/mzm.adrzzfdq.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/c1/ed/1e/mzi.tbkcshsa.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/c1/ed/1e/mzi.tbkcshsa.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music/c1/ed/1e/mzi.tbkcshsa.jpg/100x100bb.jpg,,,2008-03-15T12:00:00Z,notExplicit,notExplicit,1.0,1.0,6.0,6.0,170400,USA,USD,Worldwide,,True,,,2025-04-27T17:43:29.829919+00:00
track,song,1239332313,1334741603.0,1334741604,ZK,Zum Zum - Single,Zum Zum,Zum Zum - Single,Zum Zum,,https://music.apple.com/us/artist/zk/1239332313?uo=4,https://music.apple.com/us/album/zum-zum/1334741603?i=1334741604&uo=4,https://music.apple.com/us/album/zum-zum/1334741603?i=1334741604&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/6c/26/91/6c269179-98c3-1cd2-6db0-f053f0b3baf0/mzaf_14116704121759794788.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d3/85/45/d38545db-5af8-aa48-2ab3-47367b1f45e7/886446948591.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d3/85/45/d38545db-5af8-aa48-2ab3-47367b1f45e7/886446948591.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d3/85/45/d38545db-5af8-aa48-2ab3-47367b1f45e7/886446948591.jpg/100x100bb.jpg,1.29,1.29,2018-02-02T12:00:00Z,notExplicit,notExplicit,1.0,1.0,1.0,1.0,179046,USA,USD,Hip-Hop/Rap,,True,,,2025-04-27T17:43:29.829919+00:00
