countryOrRegion,holidayName,normalizeHolidayName,countryRegionCode,holiday_date
brazil,ano novo,ano novo,br,2016-01-01
brazil,carnaval,carnaval,br,2016-09-02
brazil,quarta-feira de cinzas (inã­cio da quaresma),quarta-feira de cinzas (inã­cio da quaresma),br,2016-10-02
brazil,dia mundial do trabalho,dia mundial do trabalho,br,2016-01-05
brazil,independãªncia do brasil,independãªncia do brasil,br,2016-07-09
brazil,nossa senhora aparecida,nossa senhora aparecida,br,2016-12-10
brazil,finados,finados,br,2016-02-11
brazil,ano novo,ano novo,br,2017-01-01
brazil,quarta-feira de cinzas (inã­cio da quaresma),quarta-feira de cinzas (inã­cio da quaresma),br,2017-01-03
brazil,dia mundial do trabalho,dia mundial do trabalho,br,2017-01-05
brazil,independãªncia do brasil,independãªncia do brasil,br,2017-07-09
brazil,nossa senhora aparecida,nossa senhora aparecida,br,2017-12-10
brazil,finados,finados,br,2017-02-11
brazil,ano novo,ano novo,br,2018-01-01
brazil,pã¡scoa,pã¡scoa,br,2018-01-04
brazil,dia mundial do trabalho,dia mundial do trabalho,br,2018-01-05
brazil,independãªncia do brasil,independãªncia do brasil,br,2018-07-09
brazil,nossa senhora aparecida,nossa senhora aparecida,br,2018-12-10
brazil,finados,finados,br,2018-02-11
