,count,mean,std,min,25%,50%,75%,max
order_total_value,98666.0,160.57763809214927,220.46608651478527,9.59,61.98,105.29,176.87,13664.08
order_products_value,98666.0,137.75407637889447,210.64514531166344,0.85,45.9,86.9,149.9,13440.0
order_freight_value,98666.0,22.823561713254826,21.65090948046291,0.0,13.85,17.17,24.04,1794.96
total_items,98666.0,1.1417306873695092,0.5384523739205158,1.0,1.0,1.0,1.0,21.0
total_products,98666.0,1.0380982303934485,0.22645641747333764,1.0,1.0,1.0,1.0,8.0
total_payment_value,99440.0,160.9902666934835,221.95125661325898,0.0,62.01,105.29,176.97,13664.08
approval_time_hours,99281.0,10.41909430191969,26.038003638429945,0.0,0.215,0.3433333333333333,14.580833333333333,4509.180555555556
carrier_delivery_days,97644.0,2.805038181144998,3.54942704957967,-171.21900462962964,0.8755092592592593,1.818396990740741,3.5804687499999996,125.76256944444444
customer_delivery_days,96476.0,12.558702304032053,9.546529874135482,0.5334143518518518,6.766403356481481,10.21775462962963,15.720326967592593,209.6286111111111
estimated_delivery_days,99441.0,23.767649925118448,8.83237134310496,1.6489930555555556,18.331689814814816,23.24037037037037,28.42486111111111,155.13546296296298
delay_days,96476.0,-11.179119879819469,10.18611321741384,-146.0161226851852,-16.244383680555558,-11.948940972222221,-6.390000000000001,188.97508101851852
freight_ratio,98666.0,0.20880404696863122,0.12574915813522614,0.0,0.11650194669062594,0.18325606763021543,0.27546253204725935,0.9554507337526205
avg_product_value_per_item,98666.0,125.91925492250608,190.985636285768,0.85,41.99,79.0,139.9,6735.0
payment_difference,98665.0,0.02909228196422198,1.1292213758520637,-51.620000000000005,0.0,0.0,0.0,182.80999999999995
